id,F1,F2,T1,A1,Fs
194,1.07012,-1.16783,0.84374,0.92965,0.54246
195,1.08648,-1.36921,0.71814,1.27939,0.58612
196,1.01899,0.72132,0.83422,1.48625,0.4923
197,0.62412,0.86726,0.68107,1.22369,0.62534
198,0.55944,-0.87318,0.73455,1.18613,0.78321
199,0.46681,0.89142,0.84158,0.98981,0.68937
200,0.5672,-1.59094,0.75838,1.1365,0.80697
201,0.48701,0.78124,0.74344,0.98355,0.78278
202,0.69785,-2.71821,0.80294,0.87984,0.64706
203,0.64876,-1.15749,0.72641,1.02249,0.64522
204,0.50637,0.415,0.78409,0.81145,0.75696
205,2.06962,-1.19692,0.83119,1.78481,0.8586
206,2.00304,-0.94483,0.87916,2.40901,1
207,2.00378,-0.27869,0.88119,2.03197,0.96241
208,0.73364,-0.6021,0.66958,1.98201,0.58854
209,0.6839,-0.26706,0.70736,1.41509,0.70394
210,0.75749,0.6841,0.74119,1.3772,0.65369
211,0.64088,-1.70318,0.75815,1.52709,0.66135
212,0.76112,-1.52533,0.76269,1.10322,0.59493
213,0.68696,-1.04703,0.70114,1.85261,0.71391
214,0.61436,0.89412,0.81048,1.90667,0.61706
215,0.63205,0.24183,0.82294,1.37231,0.53655
216,0.64639,0.30882,0.76117,1.24196,0.64938
217,0.57867,-0.11944,0.59371,1.47711,0.64958
218,0.76941,-2.13568,0.8237,1.13142,0.56043
